iteration,resnorm
1,2.29099683e+01
2,1.36204572e+01
3,8.92876149e+00
4,6.18178385e+00
5,4.46440034e+00
6,3.34446514e+00
7,2.63270644e+00
8,2.11527415e+00
9,1.74771721e+00
10,1.46744083e+00
11,1.25817148e+00
12,1.10903167e+00
13,1.00360850e+00
14,9.34066933e-01
15,8.80407913e-01
16,8.43235787e-01
17,8.17023130e-01
18,7.97563069e-01
19,7.85167833e-01
20,7.77714968e-01
21,7.74883112e-01
22,7.73749434e-01
23,7.72925419e-01
24,7.71796149e-01
25,7.69108437e-01
26,7.66351422e-01
27,7.62210634e-01
28,7.57046679e-01
29,7.50884440e-01
30,7.43826846e-01
31,7.36552946e-01
32,7.28321676e-01
33,7.21120156e-01
34,7.14263909e-01
35,7.06148750e-01
36,6.96085027e-01
37,6.86088823e-01
38,6.78343587e-01
39,6.72039426e-01
40,6.66016422e-01
41,6.61465516e-01
42,6.57827514e-01
43,6.54148183e-01
44,6.50237122e-01
45,6.46881163e-01
46,6.44492221e-01
47,6.41895843e-01
48,6.39039115e-01
49,6.36461765e-01
50,6.34944987e-01
51,6.34089734e-01
52,6.33414360e-01
53,6.33091525e-01
54,6.32945795e-01
55,6.32586871e-01
56,6.32538298e-01
57,6.32431663e-01
58,6.32414340e-01
59,6.32255141e-01
60,6.32125891e-01
61,6.31858619e-01
62,6.31578403e-01
63,6.30920046e-01
64,6.30368234e-01
65,6.29812385e-01
66,6.28416082e-01
67,6.27037615e-01
68,6.25544076e-01
69,6.23446360e-01
70,6.21333850e-01
71,6.19194462e-01
72,6.17142538e-01
73,6.15883247e-01
74,6.14392123e-01
75,6.13247031e-01
76,6.11748383e-01
77,6.10496341e-01
78,6.09955986e-01
79,6.09753464e-01
80,6.09598543e-01
81,6.09533109e-01
82,6.09425947e-01
83,6.09261171e-01
84,6.09015930e-01
85,6.08828871e-01
86,6.08532928e-01
87,6.08046015e-01
88,6.06968545e-01
89,6.05126507e-01
90,6.02987924e-01
91,6.00474146e-01
92,5.98657886e-01
93,5.97222508e-01
94,5.96197406e-01
95,5.95346046e-01
96,5.95010250e-01
97,5.94798823e-01
98,5.94773504e-01
99,5.94737741e-01
100,5.94667489e-01
101,5.94371774e-01
102,5.94025942e-01
103,5.93430661e-01
104,5.92837939e-01
105,5.92020588e-01
106,5.90702702e-01
107,5.88225698e-01
108,5.86079800e-01
109,5.84326566e-01
110,5.82590850e-01
111,5.81231565e-01
112,5.80342944e-01
113,5.79481196e-01
114,5.78420173e-01
115,5.77253894e-01
116,5.76785389e-01
117,5.76635520e-01
118,5.76489558e-01
119,5.76284679e-01
120,5.76118346e-01
121,5.76005563e-01
122,5.75981609e-01
123,5.75895244e-01
124,5.75490585e-01
125,5.75194018e-01
126,5.74963535e-01
127,5.74463445e-01
128,5.73724139e-01
129,5.72786412e-01
130,5.71929321e-01
131,5.70683848e-01
132,5.69266349e-01
133,5.68045229e-01
134,5.66974623e-01
135,5.65739186e-01
136,5.64319140e-01
137,5.63048470e-01
138,5.61942342e-01
139,5.60526817e-01
140,5.59238168e-01
141,5.58279076e-01
142,5.57356177e-01
143,5.56661448e-01
144,5.56052834e-01
145,5.55399608e-01
146,5.53968821e-01
147,5.53213836e-01
148,5.52766743e-01
149,5.52137454e-01
150,5.51243361e-01
151,5.50465998e-01
