iteration,resnorm
1,1.21103364e+01
2,7.55455359e+00
3,5.09939852e+00
4,3.66466330e+00
5,2.76474621e+00
6,2.16628454e+00
7,1.77943991e+00
8,1.57760284e+00
9,1.47362387e+00
10,1.43509611e+00
11,1.42045014e+00
12,1.40240145e+00
13,1.35891029e+00
14,1.28365844e+00
15,1.20543712e+00
16,1.14682472e+00
17,1.10354312e+00
18,1.07873044e+00
19,1.06868749e+00
20,1.06640628e+00
21,1.06548669e+00
22,1.06021188e+00
23,1.04977697e+00
24,1.03694999e+00
25,1.02126302e+00
26,1.00557842e+00
27,9.91811326e-01
28,9.81985545e-01
29,9.76853126e-01
30,9.74660377e-01
31,9.74148413e-01
32,9.73866244e-01
33,9.72357085e-01
34,9.67665103e-01
35,9.59923023e-01
36,9.52104678e-01
37,9.45677142e-01
38,9.39783216e-01
39,9.34906352e-01
40,9.32155462e-01
41,9.30225544e-01
42,9.29348953e-01
43,9.29142269e-01
44,9.29106242e-01
45,9.28956652e-01
46,9.28442175e-01
47,9.27360435e-01
48,9.26460623e-01
49,9.25631605e-01
50,9.25127044e-01
51,9.25042325e-01
52,9.24978068e-01
53,9.24844277e-01
54,9.24166202e-01
55,9.23495943e-01
56,9.22959400e-01
57,9.22456565e-01
58,9.22225707e-01
59,9.22197954e-01
60,9.22142113e-01
61,9.21605213e-01
62,9.20316657e-01
63,9.18273971e-01
64,9.15485991e-01
65,9.12514918e-01
66,9.09321161e-01
67,9.05575422e-01
68,9.02405632e-01
69,8.99269767e-01
70,8.95352791e-01
71,8.90251237e-01
72,8.85092068e-01
73,8.79339014e-01
74,8.71282911e-01
75,8.62420563e-01
76,8.54925960e-01
77,8.51161222e-01
78,8.48431545e-01
79,8.45862504e-01
80,8.43741771e-01
81,8.40742230e-01
82,8.36578484e-01
83,8.31982328e-01
84,8.27472419e-01
85,8.23325071e-01
86,8.20306398e-01
87,8.18405805e-01
88,8.17036682e-01
89,8.16386118e-01
90,8.16369104e-01
91,8.15867230e-01
92,8.13728165e-01
93,8.11441569e-01
94,8.08419944e-01
95,8.04839386e-01
96,8.01834239e-01
97,7.99172793e-01
98,7.96380709e-01
99,7.94352408e-01
100,7.93285866e-01
101,7.93073704e-01
102,7.93059948e-01
103,7.92962467e-01
104,7.92304467e-01
105,7.91185264e-01
106,7.88739413e-01
107,7.86357384e-01
108,7.84284412e-01
109,7.82535635e-01
110,7.80565403e-01
111,7.79372680e-01
112,7.78097776e-01
113,7.76528611e-01
114,7.75049075e-01
115,7.73674808e-01
116,7.72424681e-01
117,7.71075738e-01
118,7.69765827e-01
119,7.68138188e-01
120,7.66611993e-01
121,7.65422834e-01
122,7.64553353e-01
123,7.63736715e-01
124,7.63418886e-01
125,7.62879194e-01
126,7.62632830e-01
127,7.62572681e-01
128,7.62143163e-01
129,7.61653582e-01
130,7.61533393e-01
131,7.61445193e-01
132,7.61227495e-01
133,7.60895363e-01
134,7.60317885e-01
135,7.59318407e-01
136,7.57646232e-01
137,7.55909352e-01
138,7.55018188e-01
139,7.54533965e-01
140,7.54077398e-01
141,7.53743793e-01
142,7.53074490e-01
143,7.52697034e-01
144,7.52433973e-01
145,7.52115734e-01
146,7.50561857e-01
147,7.48600604e-01
148,7.47158765e-01
149,7.44850620e-01
150,7.41979826e-01
151,7.39894588e-01
152,7.38444448e-01
153,7.37895498e-01
154,7.37774659e-01
155,7.37693604e-01
156,7.36552259e-01
157,7.34029794e-01
158,7.30745415e-01
159,7.25208206e-01
160,7.17758519e-01
161,7.09723009e-01
162,7.03264041e-01
163,6.96910200e-01
164,6.92565199e-01
165,6.90167494e-01
166,6.89116156e-01
167,6.88915192e-01
168,6.88709533e-01
169,6.87906837e-01
170,6.85170704e-01
171,6.80824742e-01
172,6.75174896e-01
173,6.69119521e-01
174,6.62255557e-01
175,6.54037430e-01
176,6.46695807e-01
