realization,seed,amplitude,dof,assembly_time_s,solve_time_plain_s,iters_plain,converged_plain,solve_time_frozen_aligned_s,iters_frozen_aligned,converged_frozen_aligned,solve_time_fresh_s,iters_fresh,converged_fresh,trueres_plain,trueres_frozen_aligned,trueres_fresh,reldiff_plain_vs_fresh,reldiff_frozen_aligned_vs_fresh
1,1001,0.03,4827,449.4531,2.8070,272,true,3.3245,11,true,3.8489,10,true,8.970782e-09,5.332022e-07,5.281292e-07,2.122714e-07,7.430661e-09
2,1002,0.03,4827,424.6012,2.1834,272,true,2.9025,10,true,0.8112,10,true,8.843151e-09,5.313761e-07,5.292419e-07,2.080957e-07,4.991142e-09
3,1003,0.03,4827,444.7980,2.0188,272,true,2.7615,10,true,0.7136,10,true,9.215432e-09,5.321213e-07,5.358447e-07,2.157262e-07,6.379657e-09
4,1004,0.03,4827,444.8832,2.0454,272,true,2.5831,10,true,0.6909,10,true,8.295627e-09,5.356373e-07,5.351028e-07,1.981082e-07,8.595180e-09
5,1005,0.03,4827,444.1268,2.2183,272,true,2.8325,10,true,0.7715,10,true,8.774065e-09,5.315205e-07,5.351019e-07,2.059470e-07,6.633911e-09
6,1006,0.03,4827,413.9068,2.1976,272,true,2.7716,10,true,0.6604,10,true,8.680435e-09,5.318539e-07,5.331110e-07,2.050989e-07,8.491102e-09
7,1007,0.03,4827,437.5169,1.9754,272,true,2.6660,10,true,0.7470,10,true,8.693613e-09,5.311578e-07,5.295481e-07,2.060846e-07,8.686304e-09
8,1008,0.03,4827,439.6281,2.0312,272,true,2.7256,10,true,0.7054,10,true,8.590717e-09,5.317606e-07,5.282156e-07,2.023529e-07,6.491921e-09
9,1009,0.03,4827,438.6358,2.0464,272,true,2.9286,11,true,0.7446,10,true,8.628024e-09,5.328127e-07,5.343262e-07,2.037457e-07,6.414766e-09
10,1010,0.03,4827,442.4037,2.0663,272,true,2.7455,10,true,0.6798,10,true,8.664596e-09,5.342684e-07,5.352791e-07,2.038230e-07,5.446825e-09
11,1011,0.03,4827,441.7274,1.9398,272,true,2.6654,10,true,0.6858,10,true,8.166242e-09,5.323133e-07,5.298882e-07,1.936666e-07,6.717230e-09
12,1012,0.03,4827,420.5179,1.8263,272,true,2.6964,10,true,0.6834,10,true,8.693338e-09,5.323033e-07,5.279833e-07,2.048440e-07,6.757264e-09
13,1013,0.03,4827,440.9696,1.9538,272,true,2.6334,10,true,0.6999,10,true,8.971206e-09,5.331875e-07,5.351510e-07,2.105875e-07,1.017679e-08
14,1014,0.03,4827,436.0680,2.1375,272,true,2.8083,11,true,0.6599,10,true,8.856123e-09,5.325318e-07,5.329948e-07,2.093808e-07,5.283969e-09
15,1015,0.03,4827,442.8256,2.0359,272,true,2.9213,11,true,0.7530,10,true,8.813402e-09,5.350644e-07,5.345082e-07,2.064531e-07,5.696565e-09
16,1016,0.03,4827,437.9258,2.2998,272,true,2.6268,10,true,0.7112,10,true,8.522014e-09,5.371519e-07,5.352282e-07,2.013714e-07,7.644099e-09
17,1017,0.03,4827,441.4198,2.0029,272,true,2.8521,11,true,0.7428,10,true,8.487793e-09,5.344034e-07,5.348555e-07,1.999298e-07,6.499893e-09
18,1018,0.03,4827,442.8084,2.1925,272,true,2.6955,10,true,0.7226,10,true,9.073249e-09,5.336847e-07,5.330569e-07,2.145260e-07,4.706536e-09
19,1019,0.03,4827,442.5930,2.0346,272,true,2.9822,11,true,0.7654,10,true,8.331150e-09,5.302130e-07,5.292040e-07,1.972897e-07,5.777845e-09
20,1020,0.03,4827,444.1972,1.8406,272,true,2.8946,11,true,0.6849,10,true,8.474763e-09,5.326417e-07,5.346594e-07,2.004539e-07,6.133607e-09
