realization,seed,amplitude,dof,assembly_time_s,solve_time_plain_s,iters_plain,converged_plain,solve_time_frozen_aligned_s,iters_frozen_aligned,converged_frozen_aligned,solve_time_fresh_s,iters_fresh,converged_fresh,trueres_plain,trueres_frozen_aligned,trueres_fresh,reldiff_plain_vs_fresh,reldiff_frozen_aligned_vs_fresh
1,1001,0.3,4827,0.4081,3.2626,281,true,3.5646,13,true,3.8377,12,true,9.892938e-09,3.564660e-08,5.887419e-08,2.332246e-07,4.291791e-08
2,1002,0.3,4827,456.4766,2.3317,275,true,3.9362,12,true,0.9651,11,true,9.731167e-09,5.605327e-07,5.396467e-08,2.144443e-07,7.083639e-08
3,1003,0.3,4827,448.8737,2.0466,280,true,3.4549,13,true,0.9126,12,true,8.598903e-09,5.485450e-07,5.033337e-08,1.889651e-07,6.916920e-08
4,1004,0.3,4827,447.8897,2.0318,278,true,3.4104,13,true,0.8501,12,true,9.957261e-09,3.145042e-08,4.655073e-08,2.304713e-07,4.223015e-08
5,1005,0.3,4827,446.7314,1.9575,281,true,3.6677,13,true,0.9457,12,true,9.171242e-09,5.357855e-07,5.809243e-08,2.047462e-07,6.120437e-08
6,1006,0.3,4827,446.2414,2.0506,282,true,3.4430,13,true,0.8757,12,true,8.388550e-09,5.617632e-07,5.611876e-08,1.835961e-07,7.001130e-08
7,1007,0.3,4827,449.2864,2.0198,282,true,3.4673,13,true,0.8796,12,true,8.632891e-09,5.389022e-07,6.447279e-08,2.035282e-07,6.932166e-08
8,1008,0.3,4827,446.5647,2.0171,276,true,3.4363,12,true,0.9335,12,true,9.543344e-09,3.823880e-08,6.603388e-08,2.067275e-07,4.074368e-08
9,1009,0.3,4827,447.1294,2.0881,281,true,3.6260,13,true,0.9456,12,true,9.949098e-09,5.563638e-07,5.199886e-08,2.194528e-07,7.004827e-08
10,1010,0.3,4827,447.5659,2.1042,279,true,3.6830,13,true,0.9365,12,true,9.500585e-09,5.681903e-07,5.790845e-08,2.076661e-07,6.496942e-08
11,1011,0.3,4827,447.4923,2.4783,275,true,3.7386,13,true,0.9134,12,true,9.636453e-09,3.701830e-08,6.746423e-08,2.126439e-07,3.959680e-08
12,1012,0.3,4827,447.7785,2.0029,276,true,3.5326,13,true,0.9155,12,true,9.556702e-09,3.714564e-08,6.391030e-08,2.120160e-07,4.166872e-08
13,1013,0.3,4827,447.7710,1.9439,282,true,3.5116,13,true,0.9171,12,true,9.094220e-09,5.707018e-07,5.265867e-08,2.028019e-07,7.154282e-08
14,1014,0.3,4827,446.8213,2.0387,281,true,3.5567,13,true,0.8911,12,true,9.826285e-09,5.661134e-07,5.038131e-08,2.227404e-07,6.560829e-08
15,1015,0.3,4827,447.7733,2.0675,282,true,3.4595,13,true,0.9101,12,true,9.687620e-09,5.836635e-07,7.134806e-08,2.171861e-07,7.180164e-08
16,1016,0.3,4827,447.3559,1.9441,279,true,3.4076,13,true,0.8444,12,true,8.881499e-09,1.619793e-08,6.022649e-08,1.948618e-07,7.957942e-09
17,1017,0.3,4827,448.5880,2.0420,280,true,3.6608,13,true,0.9405,12,true,9.067315e-09,5.720020e-07,6.429136e-08,1.916998e-07,7.109841e-08
18,1018,0.3,4827,448.2967,1.9007,276,true,3.1982,12,true,0.8781,12,true,9.937428e-09,3.452122e-08,4.878353e-08,2.470445e-07,4.036088e-08
19,1019,0.3,4827,447.3269,1.9357,277,true,3.5126,13,true,0.9026,12,true,9.412546e-09,5.528916e-07,5.417341e-08,2.013980e-07,6.915522e-08
20,1020,0.3,4827,447.0845,2.3676,282,true,3.7905,13,true,0.8907,12,true,9.947049e-09,5.549176e-07,6.439603e-08,2.125241e-07,6.444666e-08
