part,kappa_precond,kappa_solve,strategy,iters,converged,true_res,solve_time_s,matrix_assembly_s,precond_assembly_s,sol_l2,rel_diff_vs_fresh,dof,h,geometry,seed,tol_outer,tol_inner,maxit,rel_resonance_gap,notes
A,,0.25,plain,112,true,9.478694046e-09,0.6964318752,19.73496485,,6.025955946,,315,0.4,sphere,1000,1e-08,1e-08,1500,9.974828,
A,0.25,0.25,fresh,8,true,1.010206947e-06,4.084220886,19.73496485,19.73496485,6.025955938,,315,0.4,sphere,1000,1e-08,1e-08,1500,9.974828,
A,,0.5,plain,102,true,9.702846456e-09,0.01941394806,3.460290194,,6.392442472,,315,0.4,sphere,1000,1e-08,1e-08,1500,4.487414,
A,0.5,0.5,fresh,8,true,1.828223427e-07,0.1884989738,3.460290194,3.460290194,6.392442464,,315,0.4,sphere,1000,1e-08,1e-08,1500,4.487414,
A,,1,plain,97,true,8.583746922e-09,0.008320808411,3.421206951,,7.754474527,,315,0.4,sphere,1000,1e-08,1e-08,1500,1.743707,
A,1,1,fresh,9,true,1.274571014e-07,0.19571805,3.421206951,3.421206951,7.754474509,,315,0.4,sphere,1000,1e-08,1e-08,1500,1.743707,
A,,2,plain,99,true,7.443118506e-09,0.007990121841,3.46863699,,6.976713561,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.3718535,
A,2,2,fresh,10,true,1.050006206e-07,0.2070598602,3.46863699,3.46863699,6.976713565,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.3718535,
A,,4,plain,135,true,8.662117348e-09,0.0178501606,3.47638607,,6.634777321,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.03244025,
A,4,4,fresh,29,true,4.954338658e-08,0.4345850945,3.47638607,3.47638607,6.634777348,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.03244025,
A,,8,plain,178,true,9.992404572e-09,0.02138996124,3.477092028,,8.236571425,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.022820125,
A,8,8,fresh,48,true,6.22293917e-08,0.6605920792,3.477092028,3.477092028,8.236571409,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.022820125,
A,2,0.25,frozen,33,true,4.773262555e-08,0.312969923,19.73496485,0,6.025956366,1.208070058e-07,315,0.4,sphere,1000,1e-08,1e-08,1500,9.974828,
A,2,0.5,frozen,28,true,4.098966567e-08,0.2591929436,3.460290194,0,6.392442442,9.710257848e-08,315,0.4,sphere,1000,1e-08,1e-08,1500,4.487414,
A,2,1,frozen,21,true,1.312848734e-07,0.2267141342,3.421206951,0,7.754474533,5.766271338e-08,315,0.4,sphere,1000,1e-08,1e-08,1500,1.743707,
A,2,2,frozen,10,true,1.050006206e-07,0.0357530117,3.46863699,0,6.976713565,0,315,0.4,sphere,1000,1e-08,1e-08,1500,0.3718535,
A,2,4,frozen,63,true,3.197362886e-08,0.5380980968,3.47638607,0,6.634777306,1.005367271e-07,315,0.4,sphere,1000,1e-08,1e-08,1500,0.03244025,
A,2,8,frozen,162,true,1.192927439e-07,1.295892954,3.477092028,0,8.236571273,3.517986817e-07,315,0.4,sphere,1000,1e-08,1e-08,1500,0.022820125,
D,,0.5,plain,102,true,9.702846456e-09,0.01941394806,3.460290194,,6.392442472,,315,0.4,sphere,1000,1e-08,1e-08,1500,4.487414,
D,0.5,0.5,fresh,8,true,1.828223427e-07,0.1884989738,3.460290194,3.460290194,6.392442464,,315,0.4,sphere,1000,1e-08,1e-08,1500,4.487414,
D,,1,plain,97,true,8.583746922e-09,0.008320808411,3.421206951,,7.754474527,,315,0.4,sphere,1000,1e-08,1e-08,1500,1.743707,
D,1,1,fresh,9,true,1.274571014e-07,0.19571805,3.421206951,3.421206951,7.754474509,,315,0.4,sphere,1000,1e-08,1e-08,1500,1.743707,
D,,2,plain,99,true,7.443118506e-09,0.007990121841,3.46863699,,6.976713561,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,2,2,fresh,10,true,1.050006206e-07,0.2070598602,3.46863699,3.46863699,6.976713565,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,,4,plain,135,true,8.662117348e-09,0.0178501606,3.47638607,,6.634777321,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,4,4,fresh,29,true,4.954338658e-08,0.4345850945,3.47638607,3.47638607,6.634777348,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,,8,plain,178,true,9.992404572e-09,0.02138996124,3.477092028,,8.236571425,,315,0.4,sphere,1000,1e-08,1e-08,1500,0.022820125,
