part,kappa_precond,kappa_solve,strategy,iters,converged,true_res,solve_time_s,matrix_assembly_s,precond_assembly_s,sol_l2,rel_diff_vs_fresh,dof,h,geometry,seed,tol_outer,tol_inner,maxit,rel_resonance_gap,notes
A,,0.03125,plain,369,true,9.646405021e-09,2.886279106,658.149945,,5.765099069,,4827,0.1,sphere,1000,1e-08,1e-08,1500,86.798624,
A,0.03125,0.03125,fresh,7,true,6.118802637e-07,4.684572935,658.149945,658.149945,5.765099369,,4827,0.1,sphere,1000,1e-08,1e-08,1500,86.798624,
A,,0.0625,plain,360,true,8.686547622e-09,3.003309011,626.4328501,,5.766745602,,4827,0.1,sphere,1000,1e-08,1e-08,1500,42.899312,
A,0.0625,0.0625,fresh,7,true,6.206372564e-07,0.7767109871,626.4328501,626.4328501,5.76674585,,4827,0.1,sphere,1000,1e-08,1e-08,1500,42.899312,
A,,0.125,plain,337,true,9.02706033e-09,2.001260042,622.3835061,,5.77429671,,4827,0.1,sphere,1000,1e-08,1e-08,1500,20.949656,
A,0.125,0.125,fresh,7,true,6.414809175e-07,0.5403840542,622.3835061,622.3835061,5.77429689,,4827,0.1,sphere,1000,1e-08,1e-08,1500,20.949656,
A,,0.25,plain,317,true,8.676574491e-09,1.553545952,0.5775811672,,5.819332404,,4827,0.1,sphere,1000,1e-08,1e-08,1500,9.974828,
A,0.25,0.25,fresh,7,true,6.755691264e-07,0.5100109577,0.5775811672,0.5775811672,5.819332494,,4827,0.1,sphere,1000,1e-08,1e-08,1500,9.974828,
A,,0.5,plain,291,true,9.624280127e-09,1.379004002,0.2090170383,,6.190261557,,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
A,0.5,0.5,fresh,8,true,7.221406528e-07,0.4897480011,0.2090170383,0.2090170383,6.190261586,,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
A,,1,plain,275,true,9.961459912e-09,1.609741926,0.2236919403,,7.485503429,,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
A,1,1,fresh,8,true,7.04100475e-07,0.4720189571,0.2236919403,0.2236919403,7.485503425,,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
A,,2,plain,272,true,8.72107318e-09,1.312044859,0.2551898956,,6.696609854,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
A,2,2,fresh,9,true,5.326399274e-07,0.5174629688,0.2551898956,0.2551898956,6.696609843,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
A,,3.52,plain,297,true,9.851640411e-09,1.635485888,0.2881548405,,6.206733756,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.09949971591,
A,3.52,3.52,fresh,13,true,2.195045589e-08,0.5101981163,0.2881548405,0.2881548405,6.206733754,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.09949971591,
A,,4,plain,256,true,9.921428903e-09,1.476130962,0.3239359856,,6.151636991,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
A,4,4,fresh,16,true,5.851650131e-08,0.8803570271,0.3239359856,0.3239359856,6.151636986,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
A,,8,plain,353,true,9.019703171e-09,2.008089066,0.2136158943,,5.878147794,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
A,8,8,fresh,25,true,4.340363172e-08,0.9229800701,0.2136158943,0.2136158943,5.878147801,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
A,,8.4661,plain,305,true,8.722405705e-09,1.654363155,0.2117922306,,5.865267108,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03015060063,
A,8.4661,8.4661,fresh,26,true,4.144300551e-08,1.153806925,0.2117922306,0.2117922306,5.865267119,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03015060063,
A,2,0.03125,frozen,32,true,1.426972203e-06,1.399234056,658.149945,0,5.765099348,2.778622538e-06,4827,0.1,sphere,1000,1e-08,1e-08,1500,86.798624,
A,2,0.0625,frozen,33,true,5.756512228e-07,1.413927078,626.4328501,0,5.766745496,9.173790764e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,42.899312,
A,2,0.125,frozen,32,true,2.588871495e-07,1.442476988,622.3835061,0,5.774296634,1.94421088e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,20.949656,
A,2,0.25,frozen,28,true,4.290434119e-07,1.108553886,0.5775811672,0,5.819332311,5.011165402e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,9.974828,
A,2,0.5,frozen,24,true,1.29972868e-07,0.9642601013,0.2090170383,0,6.190261572,1.195763397e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
A,2,1,frozen,18,true,5.034243589e-08,0.726498127,0.2236919403,0,7.485503421,4.963216757e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
A,2,2,frozen,9,true,5.326399274e-07,0.427850008,0.2551898956,0,6.696609843,0,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
A,2,4,frozen,46,true,1.193293418e-07,1.661358118,0.3239359856,0,6.151636984,3.607693667e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
A,2,8,frozen,162,true,1.999113643e-07,5.837940216,0.2136158943,0,5.878147799,1.934765969e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
A,2,3.52,frozen,29,true,6.352316078e-08,1.155400991,0.2881548405,0,6.206733753,2.131955729e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.09949971591,resonance control
A,2,8.4661,frozen,173,true,1.877334011e-07,6.444684982,0.2117922306,0,5.865267111,1.146505865e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03015060063,resonance control
D,,0.03125,plain,369,true,9.646405021e-09,2.886279106,658.149945,,5.765099069,,4827,0.1,sphere,1000,1e-08,1e-08,1500,86.798624,
D,0.03125,0.03125,fresh,7,true,6.118802637e-07,4.684572935,658.149945,658.149945,5.765099369,,4827,0.1,sphere,1000,1e-08,1e-08,1500,86.798624,
D,,0.0625,plain,360,true,8.686547622e-09,3.003309011,626.4328501,,5.766745602,,4827,0.1,sphere,1000,1e-08,1e-08,1500,42.899312,
D,0.0625,0.0625,fresh,7,true,6.206372564e-07,0.7767109871,626.4328501,626.4328501,5.76674585,,4827,0.1,sphere,1000,1e-08,1e-08,1500,42.899312,
D,,0.125,plain,337,true,9.02706033e-09,2.001260042,622.3835061,,5.77429671,,4827,0.1,sphere,1000,1e-08,1e-08,1500,20.949656,
D,0.125,0.125,fresh,7,true,6.414809175e-07,0.5403840542,622.3835061,622.3835061,5.77429689,,4827,0.1,sphere,1000,1e-08,1e-08,1500,20.949656,
D,,0.5,plain,291,true,9.624280127e-09,1.379004002,0.2090170383,,6.190261557,,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
D,0.5,0.5,fresh,8,true,7.221406528e-07,0.4897480011,0.2090170383,0.2090170383,6.190261586,,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
D,,1,plain,275,true,9.961459912e-09,1.609741926,0.2236919403,,7.485503429,,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
D,1,1,fresh,8,true,7.04100475e-07,0.4720189571,0.2236919403,0.2236919403,7.485503425,,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
D,,2,plain,272,true,8.72107318e-09,1.312044859,0.2551898956,,6.696609854,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,2,2,fresh,9,true,5.326399274e-07,0.5174629688,0.2551898956,0.2551898956,6.696609843,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,,4,plain,256,true,9.921428903e-09,1.476130962,0.3239359856,,6.151636991,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,4,4,fresh,16,true,5.851650131e-08,0.8803570271,0.3239359856,0.3239359856,6.151636986,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,,8,plain,353,true,9.019703171e-09,2.008089066,0.2136158943,,5.878147794,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
D,8,8,fresh,25,true,4.340363172e-08,0.9229800701,0.2136158943,0.2136158943,5.878147801,,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
D,1,0.03125,frozen,28,true,9.921665621e-07,1.124641895,658.149945,0.2236919403,5.765099261,8.095013675e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,86.798624,
D,1,0.0625,frozen,25,true,1.54837413e-07,0.9952180386,626.4328501,0.2236919403,5.766745605,2.080657452e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,42.899312,
D,1,0.125,frozen,24,true,4.824127369e-07,0.9642810822,622.3835061,0.2236919403,5.774296707,1.716684593e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,20.949656,
D,1,0.5,frozen,15,true,4.113663617e-07,0.7029979229,0.2090170383,0.2236919403,6.190261531,7.907190103e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
D,1,1,frozen,8,true,7.04100475e-07,0.338342905,0.2236919403,0.2236919403,7.485503425,0,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
D,1,2,frozen,19,true,3.562031611e-07,0.6891169548,0.2551898956,0.2236919403,6.696609879,6.602834348e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,1,4,frozen,64,true,1.451096328e-07,2.298835039,0.3239359856,0.2236919403,6.151637022,6.272948132e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,1,8,frozen,187,true,4.438614308e-07,6.781367064,0.2136158943,0.2236919403,5.878147785,5.511737922e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
D,2,0.03125,frozen,32,true,1.426972203e-06,1.232122183,658.149945,0.2551898956,5.765099348,2.778622538e-06,4827,0.1,sphere,1000,1e-08,1e-08,1500,86.798624,
D,2,0.0625,frozen,33,true,5.756512228e-07,1.270173073,626.4328501,0.2551898956,5.766745496,9.173790764e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,42.899312,
D,2,0.125,frozen,32,true,2.588871495e-07,1.434006929,622.3835061,0.2551898956,5.774296634,1.94421088e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,20.949656,
D,2,0.5,frozen,24,true,1.29972868e-07,0.9177138805,0.2090170383,0.2551898956,6.190261572,1.195763397e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
D,2,1,frozen,18,true,5.034243589e-08,0.6780610085,0.2236919403,0.2551898956,7.485503421,4.963216757e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
D,2,2,frozen,9,true,5.326399274e-07,0.3413341045,0.2551898956,0.2551898956,6.696609843,0,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,2,4,frozen,46,true,1.193293418e-07,1.662796021,0.3239359856,0.2551898956,6.151636984,3.607693667e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,2,8,frozen,162,true,1.999113643e-07,5.876610994,0.2136158943,0.2551898956,5.878147799,1.934765969e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
D,4,0.03125,frozen,81,true,1.369006528e-06,3.030456066,658.149945,0.3239359856,5.76509943,2.750568293e-05,4827,0.1,sphere,1000,1e-08,1e-08,1500,86.798624,
D,4,0.0625,frozen,78,true,8.825384488e-07,3.097649097,626.4328501,0.3239359856,5.766745667,6.347822795e-06,4827,0.1,sphere,1000,1e-08,1e-08,1500,42.899312,
D,4,0.125,frozen,75,true,9.031780599e-07,3.003279924,622.3835061,0.3239359856,5.774296902,2.570904474e-06,4827,0.1,sphere,1000,1e-08,1e-08,1500,20.949656,
D,4,0.5,frozen,69,true,3.796554077e-07,2.618929863,0.2090170383,0.3239359856,6.190261571,2.180376273e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
D,4,1,frozen,60,true,2.998324875e-07,2.255553961,0.2236919403,0.3239359856,7.48550339,7.755739601e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
D,4,2,frozen,43,true,1.486591401e-07,1.781315088,0.2551898956,0.3239359856,6.696609858,7.748436925e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,4,4,frozen,16,true,5.851650131e-08,0.6008350849,0.3239359856,0.3239359856,6.151636986,0,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,4,8,frozen,122,true,1.513815705e-07,4.427942991,0.2136158943,0.3239359856,5.878147777,7.532707846e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
