h,dof,amplitude,maxdisp_pct,normF_dA,normF_A0,rel_normF,sigma_min_A0,nu_tilde,kappaS_P0Aeps,kappaS_P0A0,lam_max_abs,lam_min_abs
0.2,1206,0.03,1.0168,1.77842071e-01,4.66458085e+01,3.81260560e-03,1.78113025e-02,9.98478750e+00,1.82085540e+00,1.79715309e+00,4.21479607e-01,2.31473409e-01
0.2,1206,0.1,3.3895,5.92005027e-01,4.66458085e+01,1.26914946e-02,1.78113025e-02,3.32376044e+01,1.88280606e+00,1.79715309e+00,4.30632960e-01,2.28718703e-01
0.2,1206,0.2,6.7789,1.18215133e+00,4.66458085e+01,2.53431415e-02,1.78113025e-02,6.63708522e+01,1.97912431e+00,1.79715309e+00,4.43234294e-01,2.23954752e-01
0.2,1206,0.4,13.5578,2.35991114e+00,4.66458085e+01,5.05921371e-02,1.78113025e-02,1.32495147e+02,2.19639688e+00,1.79715309e+00,4.66791238e-01,2.12525907e-01
0.2,1206,0.5,16.9473,2.94894256e+00,4.66458085e+01,6.32198831e-02,1.78113025e-02,1.65565801e+02,2.31540084e+00,1.79715309e+00,4.77763300e-01,2.06341507e-01
0.15,2298,0.03,1.0232,3.44439083e-01,8.84844520e+01,3.89265091e-03,1.28397943e-02,2.68259036e+01,1.82059906e+00,1.79555691e+00,4.20767162e-01,2.31114676e-01
0.15,2298,0.1,3.4108,1.14679936e+00,8.84844520e+01,1.29604618e-02,1.28397943e-02,8.93160231e+01,1.88377377e+00,1.79555691e+00,4.30003864e-01,2.28267253e-01
0.15,2298,0.2,6.8216,2.29067557e+00,8.84844520e+01,2.58878878e-02,1.28397943e-02,1.78404382e+02,1.98204513e+00,1.79555691e+00,4.42700875e-01,2.23355598e-01
0.15,2298,0.4,13.6432,4.57573683e+00,8.84844520e+01,5.17123260e-02,1.28397943e-02,3.56371507e+02,2.20384457e+00,1.79555691e+00,4.66365026e-01,2.11614300e-01
0.15,2298,0.5,17.0540,5.71970546e+00,8.84844520e+01,6.46407966e-02,1.28397943e-02,4.45467065e+02,2.32549341e+00,1.79555691e+00,4.77346394e-01,2.05266716e-01
0.1,4827,0.03,1.0282,7.36498892e-01,1.85869210e+02,3.96245776e-03,8.98077088e-03,8.20084269e+01,1.82009015e+00,1.79459718e+00,4.20359536e-01,2.30955338e-01
0.1,4827,0.1,3.4275,2.45243170e+00,1.85869210e+02,1.31943946e-02,8.98077088e-03,2.73075856e+02,1.88387063e+00,1.79459718e+00,4.29641127e-01,2.28062968e-01
0.1,4827,0.2,6.8549,4.89898035e+00,1.85869210e+02,2.63571377e-02,8.98077088e-03,5.45496642e+02,1.98322397e+00,1.79459718e+00,4.42389599e-01,2.23065880e-01
0.1,4827,0.3,10.2824,7.34219959e+00,1.85869210e+02,3.95019681e-02,8.98077088e-03,8.17546700e+02,2.09132675e+00,1.79459718e+00,4.54543392e-01,2.17346903e-01
0.1,4827,0.4,13.7099,9.78456080e+00,1.85869210e+02,5.26421822e-02,8.98077088e-03,1.08950122e+03,2.20784671e+00,1.79459718e+00,4.66109752e-01,2.11115087e-01
0.1,4827,0.5,17.1373,1.22283491e+01,1.85869210e+02,6.57900741e-02,8.98077088e-03,1.36161464e+03,2.33096749e+00,1.79459718e+00,4.77094152e-01,2.04676451e-01
0.2,1206,0.3,10.1684,1.77120627e+00,4.66458085e+01,3.79713919e-02,1.78113025e-02,9.94428269e+01,2.08386666e+00,1.79715309e+00,4.55284101e-01,2.18480438e-01
0.15,2298,0.3,10.2324,3.43316728e+00,8.84844520e+01,3.87996670e-02,1.28397943e-02,2.67384913e+02,2.08883091e+00,1.79555691e+00,4.54818626e-01,2.17738365e-01
