mesh,ell,kappa,level,case,seed,dof,eps_m,maxdisp_m,sup_DV,cert,min_area,assembly_time_s,t_plain_s,iters_plain,conv_plain,t_frozen_s,iters_frozen,conv_frozen,t_fresh_s,iters_fresh,conv_fresh,res_plain,res_frozen,res_fresh,resonance_flag,iters_fresh_1p03
almond_lam12,d4,74.688859,1,U,1000,2673,0.00266,0.0026581398,21.386767,0.056889,3.624448e-06,203.532,1.679,417,true,4.407,48,true,5.071,47,true,5.9289e-08,2.5451e-07,3.5988e-07,false,-1
almond_lam12,d4,74.688859,1,U,1001,2673,0.00266,0.0026564541,18.343263,0.048793,3.800336e-06,204.745,1.012,419,true,4.469,48,true,1.602,48,true,5.9911e-08,3.6884e-07,3.0870e-07,false,-1
almond_lam12,d4,74.688859,1,U,1002,2673,0.00266,0.0026537447,33.568661,0.089293,3.622896e-06,213.829,1.015,419,true,5.040,48,true,1.687,47,true,5.7789e-08,2.4340e-07,1.8866e-07,false,-1
almond_lam12,d4,74.688859,1,U,1003,2673,0.00266,0.0026550097,35.135079,0.093459,3.743841e-06,5.702,0.985,412,true,3.993,47,true,NaN,-1,false,5.9976e-08,2.1756e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,U,1004,2673,0.00266,0.0026571412,21.436846,0.057022,3.721369e-06,5.580,0.976,418,true,4.060,49,true,NaN,-1,false,6.2705e-08,2.1536e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,U,1005,2673,0.00266,0.0026513987,28.719563,0.076394,3.725089e-06,5.569,0.994,417,true,4.245,47,true,NaN,-1,false,6.0882e-08,2.3633e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,U,1006,2673,0.00266,0.00266,19.379240,0.051549,3.768531e-06,5.933,0.962,412,true,3.995,47,true,NaN,-1,false,6.2253e-08,2.0257e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,U,1007,2673,0.00266,0.0026570426,24.979387,0.066445,3.759297e-06,5.611,0.980,425,true,4.005,49,true,NaN,-1,false,6.1879e-08,2.4584e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,U,1008,2673,0.00266,0.002658043,23.921776,0.063632,3.757593e-06,5.564,0.976,423,true,4.038,49,true,NaN,-1,false,6.2142e-08,2.4704e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,U,1009,2673,0.00266,0.0026555517,27.896413,0.074204,3.639981e-06,5.385,0.928,409,true,3.893,47,true,NaN,-1,false,5.9232e-08,1.6144e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,T,1000,2673,0.00266,0.0026581398,24.660141,0.065596,3.624448e-06,198.774,0.965,417,true,4.264,48,true,1.566,47,true,5.3323e-08,2.6370e-07,4.4090e-07,false,-1
almond_lam12,d4,74.688859,1,T,1001,2673,0.00266,0.0026564541,18.341576,0.048789,3.800336e-06,197.542,0.998,419,true,4.607,48,true,1.637,49,true,6.0058e-08,3.5803e-07,1.9551e-07,false,-1
almond_lam12,d4,74.688859,1,T,1002,2673,0.00266,0.0026537447,33.568661,0.089293,3.622896e-06,206.002,0.996,417,true,4.852,48,true,1.610,46,true,6.2319e-08,2.1757e-07,2.0282e-07,false,-1
almond_lam12,d4,74.688859,1,T,1003,2673,0.00266,0.0026550097,35.135079,0.093459,3.743841e-06,5.686,1.002,412,true,3.986,47,true,NaN,-1,false,5.2216e-08,2.7487e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,T,1004,2673,0.00266,0.0026571412,22.893987,0.060898,3.721369e-06,5.493,1.066,417,true,4.417,49,true,NaN,-1,false,6.2950e-08,2.1372e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,T,1005,2673,0.00266,0.0026513987,28.719563,0.076394,3.725089e-06,5.648,0.976,418,true,3.682,46,true,NaN,-1,false,5.4756e-08,2.7548e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,T,1006,2673,0.00266,0.0026545424,25.463192,0.067732,3.782984e-06,5.833,0.956,413,true,4.070,48,true,NaN,-1,false,6.1795e-08,2.1148e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,T,1007,2673,0.00266,0.0026560818,25.108997,0.066790,3.759437e-06,5.438,1.018,425,true,3.946,48,true,NaN,-1,false,5.8075e-08,3.6076e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,T,1008,2673,0.00266,0.0026614196,30.998891,0.082457,3.761793e-06,5.674,0.976,425,true,4.020,49,true,NaN,-1,false,5.4997e-08,2.8063e-07,NaN,false,-1
almond_lam12,d4,74.688859,1,T,1009,2673,0.00266,0.0026555517,27.896413,0.074204,3.639981e-06,5.674,0.945,408,true,3.988,47,true,NaN,-1,false,6.2456e-08,3.5415e-07,NaN,false,-1
almond_lam12,d4,74.688859,2,U,1000,2673,0.00532,0.0053162796,21.386767,0.113778,3.516767e-06,468.308,1.081,416,true,5.106,48,true,1.651,47,true,5.5649e-08,2.8352e-07,3.8241e-07,false,-1
