mesh,ell,kappa,level,case,seed,dof,eps_m,maxdisp_m,sup_DV,cert,min_area,t_assembly_frozen_s,t_assembly_extra_s,t_frozen_s,iters_frozen,conv_frozen,res_frozen,t_fresh_s,iters_fresh,conv_fresh,res_fresh,has_fresh
almond_lam12,d4,74.688859,5,U,5000,2673,0.0133,0.0132763,27.140378,0.360967,3.429507e-06,7.391,177.869,4.689,54,true,1.8317e-07,2.161,53,true,2.5186e-07,true
almond_lam12,d4,74.688859,5,U,5001,2673,0.0133,0.013298235,18.091657,0.240619,3.589468e-06,5.130,173.963,3.714,47,true,3.8126e-07,2.016,44,true,3.5427e-07,true
almond_lam12,d4,74.688859,5,U,5002,2673,0.0133,0.013294179,23.215955,0.308772,3.961347e-06,5.094,174.685,4.317,52,true,2.0259e-07,2.166,52,true,6.9775e-07,true
almond_lam12,d4,74.688859,5,U,5003,2673,0.0133,0.013275975,28.224518,0.375386,3.833024e-06,5.096,173.967,4.411,56,true,1.9368e-07,2.262,56,true,1.8195e-07,true
almond_lam12,d4,74.688859,5,U,5004,2673,0.0133,0.0132894,24.754099,0.329230,3.866051e-06,5.045,173.954,3.991,50,true,2.3884e-07,2.098,49,true,3.1789e-07,true
almond_lam12,d4,74.688859,5,U,5005,2673,0.0133,0.013266264,20.387518,0.271154,4.012339e-06,5.125,172.172,4.039,50,true,2.2422e-07,2.044,47,true,2.5246e-07,true
almond_lam12,d4,74.688859,5,U,5006,2673,0.0133,0.013278231,17.236560,0.229246,3.641031e-06,5.103,173.959,3.814,49,true,2.5348e-07,2.118,47,true,2.6009e-07,true
almond_lam12,d4,74.688859,5,U,5007,2673,0.0133,0.01327593,17.187457,0.228593,3.927576e-06,5.308,176.107,4.391,51,true,1.9323e-07,2.101,50,true,4.3128e-07,true
almond_lam12,d4,74.688859,5,U,5008,2673,0.0133,0.013298021,24.137841,0.321033,3.605452e-06,5.108,175.030,4.059,50,true,2.4575e-07,2.116,49,true,2.5657e-07,true
almond_lam12,d4,74.688859,5,U,5009,2673,0.0133,0.01329337,24.750185,0.329177,3.073314e-06,5.060,170.825,4.092,51,true,2.0028e-07,2.112,49,true,3.3910e-07,true
almond_lam12,d4,74.688859,5,U,5010,2673,0.0133,0.013277674,34.859326,0.463629,3.397378e-06,5.020,172.308,3.849,49,true,2.8879e-07,1.851,44,true,3.4543e-07,true
almond_lam12,d4,74.688859,5,U,5011,2673,0.0133,0.013261839,33.212150,0.441722,3.574557e-06,5.028,172.046,4.271,53,true,1.6013e-07,2.170,52,true,2.1672e-07,true
almond_lam12,d4,74.688859,5,U,5012,2673,0.0133,0.013299569,21.025516,0.279639,3.327564e-06,5.023,171.849,4.627,57,true,1.4821e-07,2.318,59,true,3.7917e-07,true
almond_lam12,d4,74.688859,5,U,5013,2673,0.0133,0.013290189,21.766623,0.289496,3.608892e-06,5.226,171.900,4.187,51,true,1.9823e-07,1.926,47,true,1.9243e-07,true
almond_lam12,d4,74.688859,5,U,5014,2673,0.0133,0.013275922,23.874583,0.317532,3.345378e-06,5.018,172.601,4.401,54,true,2.4931e-07,2.443,58,true,3.9390e-07,true
almond_lam12,d4,74.688859,5,U,5015,2673,0.0133,0.013296278,20.903871,0.278021,3.755607e-06,5.021,175.701,3.814,47,true,2.9398e-07,1.970,44,true,2.5280e-07,true
almond_lam12,d4,74.688859,5,U,5016,2673,0.0133,0.013273378,20.898357,0.277948,3.102614e-06,5.072,175.987,4.091,51,true,1.8537e-07,2.078,50,true,2.7253e-07,true
almond_lam12,d4,74.688859,5,U,5017,2673,0.0133,0.013290063,25.194119,0.335082,3.453061e-06,5.113,181.840,4.149,51,true,1.8090e-07,2.167,49,true,1.8974e-07,true
almond_lam12,d4,74.688859,5,U,5018,2673,0.0133,0.013284748,15.885252,0.211274,3.797997e-06,5.417,176.818,4.209,52,true,1.8320e-07,2.393,54,true,1.8845e-07,true
almond_lam12,d4,74.688859,5,U,5019,2673,0.0133,0.01328162,21.978293,0.292311,4.047466e-06,5.056,180.316,4.517,56,true,1.5055e-07,2.463,60,true,8.4897e-07,true
almond_lam12,d4,74.688859,5,U,5020,2673,0.0133,0.013299119,18.878179,0.251080,3.371174e-06,5.469,0.000,3.913,49,true,2.6665e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5021,2673,0.0133,0.013256032,28.564693,0.379910,3.246979e-06,5.276,0.000,3.880,49,true,2.2564e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5022,2673,0.0133,0.013261017,30.387782,0.404157,3.823854e-06,5.014,0.000,4.044,51,true,2.5589e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5023,2673,0.0133,0.0133,18.375707,0.244397,3.286974e-06,5.101,0.000,4.136,52,true,2.0741e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5024,2673,0.0133,0.013299505,20.362050,0.270815,3.775155e-06,5.119,0.000,3.672,46,true,2.4923e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5025,2673,0.0133,0.013275107,22.769641,0.302836,3.257757e-06,5.102,0.000,3.918,50,true,2.9464e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5026,2673,0.0133,0.013288102,18.206457,0.242146,3.355761e-06,5.292,0.000,3.828,47,true,2.2303e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5027,2673,0.0133,0.013297554,21.637509,0.287779,3.277051e-06,5.109,0.000,4.045,52,true,2.5813e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5028,2673,0.0133,0.01328201,22.716412,0.302128,3.697758e-06,5.287,0.000,4.091,52,true,2.0768e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5029,2673,0.0133,0.013286644,21.196941,0.281919,3.103445e-06,5.101,0.000,4.132,52,true,1.9758e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5030,2673,0.0133,0.013268764,27.044304,0.359689,3.550971e-06,5.040,0.000,3.911,50,true,1.6307e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5031,2673,0.0133,0.013233234,35.193151,0.468069,3.468080e-06,5.044,0.000,4.144,53,true,1.7338e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5032,2673,0.0133,0.013293355,20.312363,0.270154,4.068422e-06,5.194,0.000,3.876,48,true,2.9169e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5033,2673,0.0133,0.013261895,22.243400,0.295837,4.066593e-06,5.224,0.000,3.959,51,true,2.3280e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5034,2673,0.0133,0.013293609,28.378708,0.377437,4.021211e-06,5.149,0.000,3.823,48,true,2.4093e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5035,2673,0.0133,0.013294958,19.193102,0.255268,3.841745e-06,5.019,0.000,4.167,48,true,1.7469e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5036,2673,0.0133,0.013274571,20.101004,0.267343,3.879420e-06,5.810,0.000,4.018,50,true,2.3059e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5037,2673,0.0133,0.0133,28.424313,0.378043,3.450893e-06,5.446,0.000,4.121,53,true,2.0096e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5038,2673,0.0133,0.013277222,22.219183,0.295515,3.315207e-06,5.335,0.000,4.004,51,true,1.7077e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5039,2673,0.0133,0.013294982,23.289051,0.309744,4.036098e-06,5.198,0.000,4.330,53,true,1.9347e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5040,2673,0.0133,0.013285124,21.726664,0.288965,3.436820e-06,5.443,0.000,4.138,51,true,1.4830e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5041,2673,0.0133,0.013280892,23.862994,0.317378,3.492641e-06,5.596,0.000,4.093,48,true,2.6486e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5042,2673,0.0133,0.013300278,18.376635,0.244409,3.857978e-06,5.244,0.000,3.985,49,true,2.7298e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5043,2673,0.0133,0.013297527,19.684530,0.261804,3.303361e-06,5.850,0.000,4.328,47,true,2.1081e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5044,2673,0.0133,0.013283742,37.470964,0.498364,3.679712e-06,5.385,0.000,4.266,51,true,1.9254e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5045,2673,0.0133,0.013270164,28.735288,0.382179,3.530365e-06,5.442,0.000,4.764,51,true,2.7370e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5046,2673,0.0133,0.013278792,29.587854,0.393518,3.024294e-06,5.487,0.000,4.517,54,true,1.6522e-07,NaN,-1,false,NaN,false
almond_lam12,d4,74.688859,5,U,5047,2673,0.0133,0.013301046,18.620624,0.247654,3.538794e-06,5.365,0.000,4.383,51,true,2.1365e-07,NaN,-1,false,NaN,false
