phi_deg,pol,geometry,strategy,sigma_m2,iters,seconds
0.0000,V,nominal,fresh,1.10512964e-04,40,7.906
0.0000,V,perturbed,frozen,9.72096923e-05,54,4.197
0.0000,V,perturbed,fresh,9.72097197e-05,53,1.705
0.0000,H,nominal,fresh,1.51489960e-03,42,1.303
0.0000,H,perturbed,frozen,1.35292753e-03,55,4.590
0.0000,H,perturbed,fresh,1.35292782e-03,53,1.671
2.5000,V,nominal,fresh,1.10036555e-04,42,1.304
2.5000,V,perturbed,frozen,9.72389396e-05,54,4.051
2.5000,V,perturbed,fresh,9.72389136e-05,52,1.640
2.5000,H,nominal,fresh,1.51556329e-03,44,1.357
2.5000,H,perturbed,frozen,1.30248363e-03,55,4.206
2.5000,H,perturbed,fresh,1.30248366e-03,53,1.673
5.0000,V,nominal,fresh,1.08258039e-04,43,1.320
5.0000,V,perturbed,frozen,9.83153007e-05,54,4.170
5.0000,V,perturbed,fresh,9.83153545e-05,53,1.660
5.0000,H,nominal,fresh,1.51741921e-03,46,1.395
5.0000,H,perturbed,frozen,1.24975325e-03,55,4.255
5.0000,H,perturbed,fresh,1.24975349e-03,53,1.659
7.5000,V,nominal,fresh,1.04896245e-04,44,1.325
7.5000,V,perturbed,frozen,1.00342960e-04,54,3.966
7.5000,V,perturbed,fresh,1.00343023e-04,53,1.651
7.5000,H,nominal,fresh,1.52934428e-03,46,1.390
7.5000,H,perturbed,frozen,1.19718370e-03,55,4.154
7.5000,H,perturbed,fresh,1.19718379e-03,53,1.667
10.0000,V,nominal,fresh,9.95790889e-05,44,1.331
10.0000,V,perturbed,frozen,1.03191960e-04,54,4.218
10.0000,V,perturbed,fresh,1.03192028e-04,53,1.657
10.0000,H,nominal,fresh,1.56205723e-03,46,1.360
10.0000,H,perturbed,frozen,1.15167531e-03,55,4.163
10.0000,H,perturbed,fresh,1.15167523e-03,53,1.653
12.5000,V,nominal,fresh,9.20184048e-05,44,1.330
12.5000,V,perturbed,frozen,1.06562787e-04,54,4.102
12.5000,V,perturbed,fresh,1.06562858e-04,53,1.649
12.5000,H,nominal,fresh,1.62273461e-03,46,1.383
12.5000,H,perturbed,frozen,1.12254548e-03,54,4.048
12.5000,H,perturbed,fresh,1.12254445e-03,53,1.664
15.0000,V,nominal,fresh,8.23128459e-05,44,1.337
15.0000,V,perturbed,frozen,1.09771264e-04,54,4.070
15.0000,V,perturbed,fresh,1.09771336e-04,53,1.640
15.0000,H,nominal,fresh,1.70905009e-03,46,1.370
15.0000,H,perturbed,frozen,1.11777031e-03,54,4.108
15.0000,H,perturbed,fresh,1.11776951e-03,53,1.663
17.5000,V,nominal,fresh,7.13793851e-05,44,1.339
17.5000,V,perturbed,frozen,1.11525104e-04,55,4.141
17.5000,V,perturbed,fresh,1.11525156e-04,53,1.666
17.5000,H,nominal,fresh,1.80431329e-03,46,1.417
17.5000,H,perturbed,frozen,1.14004132e-03,54,4.276
17.5000,H,perturbed,fresh,1.14004081e-03,53,1.722
20.0000,V,nominal,fresh,6.13995414e-05,44,1.344
